VisaType,countries,date_gov,date,delay,delay_days,datetype
"5th Non-Regional Center
(C5 and T5)",INDIA,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
1st,MEXICO,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
2nd,MEXICO,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
3rd,MEXICO,2016-01-01,2016-03-01,60 days,60.0,Final Action Date
Other Workers,MEXICO,2016-01-01,2016-03-01,60 days,60.0,Final Action Date
4th,MEXICO,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
Certain Religious Workers,MEXICO,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2008-03-15,2016-03-01,2908 days,2908.0,Final Action Date
Other Workers,PHILIPPINES,2008-03-15,2016-03-01,2908 days,2908.0,Final Action Date
4th,PHILIPPINES,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,2016-03-01,2016-03-01,0 days,0.0,Final Action Date
1st,"All
 Chargeability
 Areas Except
 Those Listed",2016-02-01,2016-02-01,0 days,0.0,Final Action Date
2nd,"All
 Chargeability
 Areas Except
 Those Listed",2016-02-01,2016-02-01,0 days,0.0,Final Action Date
3rd,"All
 Chargeability
 Areas Except
 Those Listed",2015-10-01,2016-02-01,123 days,123.0,Final Action Date
Other Workers,"All
 Chargeability
 Areas Except
 Those Listed",2015-10-01,2016-02-01,123 days,123.0,Final Action Date
4th,"All
 Chargeability
 Areas Except
 Those Listed",2016-02-01,2016-02-01,0 days,0.0,Final Action Date
Certain Religious Workers,"All
 Chargeability
 Areas Except
 Those Listed",2016-02-01,2016-02-01,0 days,0.0,Final Action Date
"5th
Non-Regional
Center
(C5 and T5)","All
 Chargeability
 Areas Except
 Those Listed",2016-02-01,2016-02-01,0 days,0.0,Final Action Date
"5th
Regional
Center
(I5 and R5)","All
 Chargeability
 Areas Except
 Those Listed",2016-02-01,2016-02-01,0 days,0.0,Final Action Date
1st,CHINA,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
2nd,CHINA,2012-03-01,2016-02-01,1432 days,1432.0,Final Action Date
3rd,CHINA,2012-10-01,2016-02-01,1218 days,1218.0,Final Action Date
Other Workers,CHINA,2006-12-22,2016-02-01,3328 days,3328.0,Final Action Date
4th,CHINA,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
"5th
Non-Regional
Center
(C5 and T5)",CHINA,2014-01-15,2016-02-01,747 days,747.0,Final Action Date
"5th
Regional
Center
(I5 and R5)",CHINA,2014-01-15,2016-02-01,747 days,747.0,Final Action Date
1st,INDIA,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
2nd,INDIA,2008-08-01,2016-02-01,2740 days,2740.0,Final Action Date
3rd,INDIA,2004-06-15,2016-02-01,4248 days,4248.0,Final Action Date
Other Workers,INDIA,2004-06-15,2016-02-01,4248 days,4248.0,Final Action Date
4th,INDIA,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
"5th
Non-Regional
Center
(C5 and T5)",INDIA,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
"5th
Regional
Center
(I5 and R5)",INDIA,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
1st,MEXICO,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
2nd,MEXICO,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
3rd,MEXICO,2015-10-01,2016-02-01,123 days,123.0,Final Action Date
Other Workers,MEXICO,2015-10-01,2016-02-01,123 days,123.0,Final Action Date
4th,MEXICO,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
Certain Religious Workers,MEXICO,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
"5th
Non-Regional
Center
(C5 and T5)",MEXICO,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
"5th
Regional
Center
(I5 and R5)",MEXICO,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2008-01-08,2016-02-01,2946 days,2946.0,Final Action Date
Other Workers,PHILIPPINES,2008-01-08,2016-02-01,2946 days,2946.0,Final Action Date
4th,PHILIPPINES,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
"5th
Non-Regional
Center
(C5 and T5)",PHILIPPINES,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
"5th
Regional
Center
(I5 and R5)",PHILIPPINES,2016-02-01,2016-02-01,0 days,0.0,Final Action Date
1st,"All
 Chargeability 
 Areas Except 
 Those Listed",2016-01-01,2016-01-01,0 days,0.0,Final Action Date
2nd,"All
 Chargeability 
 Areas Except 
 Those Listed",2016-01-01,2016-01-01,0 days,0.0,Final Action Date
3rd,"All
 Chargeability 
 Areas Except 
 Those Listed",2015-10-01,2016-01-01,92 days,92.0,Final Action Date
Other Workers,"All
 Chargeability 
 Areas Except 
 Those Listed",2015-10-01,2016-01-01,92 days,92.0,Final Action Date
4th,"All
 Chargeability 
 Areas Except 
 Those Listed",2016-01-01,2016-01-01,0 days,0.0,Final Action Date
Certain Religious Workers,"All
 Chargeability 
 Areas Except 
 Those Listed",,2016-01-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)","All
 Chargeability 
 Areas Except 
 Those Listed",2016-01-01,2016-01-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","All
 Chargeability 
 Areas Except 
 Those Listed",,2016-01-01,,,Final Action Date
1st,CHINA,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
2nd,CHINA,2012-02-01,2016-01-01,1430 days,1430.0,Final Action Date
3rd,CHINA,2012-07-01,2016-01-01,1279 days,1279.0,Final Action Date
Other Workers,CHINA,2006-12-01,2016-01-01,3318 days,3318.0,Final Action Date
4th,CHINA,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,,2016-01-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2014-01-08,2016-01-01,723 days,723.0,Final Action Date
"5th Regional Center
(I5 and R5)",CHINA,,2016-01-01,,,Final Action Date
1st,INDIA,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
2nd,INDIA,2008-02-01,2016-01-01,2891 days,2891.0,Final Action Date
3rd,INDIA,2004-05-15,2016-01-01,4248 days,4248.0,Final Action Date
Other Workers,INDIA,2004-05-15,2016-01-01,4248 days,4248.0,Final Action Date
4th,INDIA,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,,2016-01-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,,2016-01-01,,,Final Action Date
1st,MEXICO,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
2nd,MEXICO,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
3rd,MEXICO,2015-10-01,2016-01-01,92 days,92.0,Final Action Date
Other Workers,MEXICO,2015-10-01,2016-01-01,92 days,92.0,Final Action Date
4th,MEXICO,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
Certain Religious Workers,MEXICO,,2016-01-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,,2016-01-01,,,Final Action Date
1st,PHILIPPINES,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2007-11-01,2016-01-01,2983 days,2983.0,Final Action Date
Other Workers,PHILIPPINES,2007-11-01,2016-01-01,2983 days,2983.0,Final Action Date
4th,PHILIPPINES,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,,2016-01-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2016-01-01,2016-01-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,,2016-01-01,,,Final Action Date
1st,ROW,2021-12-01,2021-12-01,0 days,0.0,Priority Date
2nd,ROW,2021-12-01,2021-12-01,0 days,0.0,Priority Date
3rd,ROW,2021-12-01,2021-12-01,0 days,0.0,Priority Date
Other Workers,ROW,2021-12-01,2021-12-01,0 days,0.0,Priority Date
4th,ROW,2021-12-01,2021-12-01,0 days,0.0,Priority Date
Certain Religious Workers,ROW,2021-12-01,2021-12-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",ROW,2021-12-01,2021-12-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",ROW,2021-12-01,2021-12-01,0 days,0.0,Priority Date
1st,CHINA,2021-12-01,2021-12-01,0 days,0.0,Priority Date
2nd,CHINA,2019-04-01,2021-12-01,975 days,975.0,Priority Date
3rd,CHINA,2018-04-01,2021-12-01,1340 days,1340.0,Priority Date
Other Workers,CHINA,2015-05-01,2021-12-01,2406 days,2406.0,Priority Date
4th,CHINA,2021-12-01,2021-12-01,0 days,0.0,Priority Date
Certain Religious Workers,CHINA,2021-12-01,2021-12-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2021-12-01,2021-12-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",CHINA,2015-12-15,2021-12-01,2178 days,2178.0,Priority Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-12-01,2021-12-01,0 days,0.0,Priority Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-12-01,2021-12-01,0 days,0.0,Priority Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-12-01,2021-12-01,0 days,0.0,Priority Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-12-01,2021-12-01,0 days,0.0,Priority Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-05-15,2021-12-01,931 days,931.0,Priority Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-05-15,2021-12-01,931 days,931.0,Priority Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-12-01,2021-12-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-12-01,2021-12-01,0 days,0.0,Priority Date
1st,INDIA,2021-12-01,2021-12-01,0 days,0.0,Priority Date
2nd,INDIA,2013-07-08,2021-12-01,3068 days,3068.0,Priority Date
3rd,INDIA,2012-01-22,2021-12-01,3601 days,3601.0,Priority Date
Other Workers,INDIA,2012-01-22,2021-12-01,3601 days,3601.0,Priority Date
4th,INDIA,2021-12-01,2021-12-01,0 days,0.0,Priority Date
Certain Religious Workers,INDIA,2021-12-01,2021-12-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2021-12-01,2021-12-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",INDIA,2021-12-01,2021-12-01,0 days,0.0,Priority Date
1st,MEXICO,2021-12-01,2021-12-01,0 days,0.0,Priority Date
2nd,MEXICO,2021-12-01,2021-12-01,0 days,0.0,Priority Date
3rd,MEXICO,2021-12-01,2021-12-01,0 days,0.0,Priority Date
Other Workers,MEXICO,2021-12-01,2021-12-01,0 days,0.0,Priority Date
4th,MEXICO,2021-12-01,2021-12-01,0 days,0.0,Priority Date
Certain Religious Workers,MEXICO,2021-12-01,2021-12-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2021-12-01,2021-12-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",MEXICO,2021-12-01,2021-12-01,0 days,0.0,Priority Date
1st,PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Priority Date
2nd,PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Priority Date
3rd,PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Priority Date
Other Workers,PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Priority Date
4th,PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Priority Date
Certain Religious Workers,PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Priority Date
1st,ROW,2021-11-01,2021-11-01,0 days,0.0,Priority Date
2nd,ROW,2021-11-01,2021-11-01,0 days,0.0,Priority Date
3rd,ROW,2021-11-01,2021-11-01,0 days,0.0,Priority Date
Other Workers,ROW,2021-11-01,2021-11-01,0 days,0.0,Priority Date
4th,ROW,2021-11-01,2021-11-01,0 days,0.0,Priority Date
Certain Religious Workers,ROW,2021-11-01,2021-11-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",ROW,2021-11-01,2021-11-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",ROW,2021-11-01,2021-11-01,0 days,0.0,Priority Date
1st,CHINA,2021-11-01,2021-11-01,0 days,0.0,Priority Date
2nd,CHINA,2019-02-01,2021-11-01,1004 days,1004.0,Priority Date
3rd,CHINA,2018-04-01,2021-11-01,1310 days,1310.0,Priority Date
Other Workers,CHINA,2010-05-01,2021-11-01,4202 days,4202.0,Priority Date
4th,CHINA,2021-11-01,2021-11-01,0 days,0.0,Priority Date
Certain Religious Workers,CHINA,2021-11-01,2021-11-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2015-12-15,2021-11-01,2148 days,2148.0,Priority Date
"5th Regional Center
(I5 and R5)",CHINA,2015-12-15,2021-11-01,2148 days,2148.0,Priority Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-11-01,2021-11-01,0 days,0.0,Priority Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-11-01,2021-11-01,0 days,0.0,Priority Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-11-01,2021-11-01,0 days,0.0,Priority Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-11-01,2021-11-01,0 days,0.0,Priority Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-05-15,2021-11-01,901 days,901.0,Priority Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-05-15,2021-11-01,901 days,901.0,Priority Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-11-01,2021-11-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-11-01,2021-11-01,0 days,0.0,Priority Date
1st,INDIA,2021-11-01,2021-11-01,0 days,0.0,Priority Date
2nd,INDIA,2013-01-08,2021-11-01,3219 days,3219.0,Priority Date
3rd,INDIA,2012-01-22,2021-11-01,3571 days,3571.0,Priority Date
Other Workers,INDIA,2012-01-22,2021-11-01,3571 days,3571.0,Priority Date
4th,INDIA,2021-11-01,2021-11-01,0 days,0.0,Priority Date
Certain Religious Workers,INDIA,2021-11-01,2021-11-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2021-11-01,2021-11-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",INDIA,2021-11-01,2021-11-01,0 days,0.0,Priority Date
1st,MEXICO,2021-11-01,2021-11-01,0 days,0.0,Priority Date
2nd,MEXICO,2021-11-01,2021-11-01,0 days,0.0,Priority Date
3rd,MEXICO,2021-11-01,2021-11-01,0 days,0.0,Priority Date
Other Workers,MEXICO,2021-11-01,2021-11-01,0 days,0.0,Priority Date
4th,MEXICO,2021-11-01,2021-11-01,0 days,0.0,Priority Date
Certain Religious Workers,MEXICO,2021-11-01,2021-11-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2021-11-01,2021-11-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",MEXICO,2021-11-01,2021-11-01,0 days,0.0,Priority Date
1st,PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Priority Date
2nd,PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Priority Date
3rd,PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Priority Date
Other Workers,PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Priority Date
4th,PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Priority Date
Certain Religious Workers,PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Priority Date
1st,ROW,2021-10-01,2021-10-01,0 days,0.0,Priority Date
2nd,ROW,2021-10-01,2021-10-01,0 days,0.0,Priority Date
3rd,ROW,2021-10-01,2021-10-01,0 days,0.0,Priority Date
Other Workers,ROW,2021-10-01,2021-10-01,0 days,0.0,Priority Date
4th,ROW,2021-10-01,2021-10-01,0 days,0.0,Priority Date
Certain Religious Workers,ROW,2021-10-01,2021-10-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",ROW,2021-10-01,2021-10-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",ROW,2021-10-01,2021-10-01,0 days,0.0,Priority Date
1st,CHINA,2021-10-01,2021-10-01,0 days,0.0,Priority Date
2nd,CHINA,2018-09-01,2021-10-01,1126 days,1126.0,Priority Date
3rd,CHINA,2019-01-15,2021-10-01,990 days,990.0,Priority Date
Other Workers,CHINA,2010-05-01,2021-10-01,4171 days,4171.0,Priority Date
4th,CHINA,2021-10-01,2021-10-01,0 days,0.0,Priority Date
Certain Religious Workers,CHINA,2021-10-01,2021-10-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2015-12-15,2021-10-01,2117 days,2117.0,Priority Date
"5th Regional Center
(I5 and R5)",CHINA,2015-12-15,2021-10-01,2117 days,2117.0,Priority Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-10-01,2021-10-01,0 days,0.0,Priority Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-10-01,2021-10-01,0 days,0.0,Priority Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-10-01,2021-10-01,0 days,0.0,Priority Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-10-01,2021-10-01,0 days,0.0,Priority Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-05-15,2021-10-01,870 days,870.0,Priority Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-05-15,2021-10-01,870 days,870.0,Priority Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-10-01,2021-10-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-10-01,2021-10-01,0 days,0.0,Priority Date
1st,INDIA,2021-10-01,2021-10-01,0 days,0.0,Priority Date
2nd,INDIA,2012-07-08,2021-10-01,3372 days,3372.0,Priority Date
3rd,INDIA,2014-01-08,2021-10-01,2823 days,2823.0,Priority Date
Other Workers,INDIA,2014-01-08,2021-10-01,2823 days,2823.0,Priority Date
4th,INDIA,2021-10-01,2021-10-01,0 days,0.0,Priority Date
Certain Religious Workers,INDIA,2021-10-01,2021-10-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2021-10-01,2021-10-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",INDIA,2021-10-01,2021-10-01,0 days,0.0,Priority Date
1st,MEXICO,2021-10-01,2021-10-01,0 days,0.0,Priority Date
2nd,MEXICO,2021-10-01,2021-10-01,0 days,0.0,Priority Date
3rd,MEXICO,2021-10-01,2021-10-01,0 days,0.0,Priority Date
Other Workers,MEXICO,2021-10-01,2021-10-01,0 days,0.0,Priority Date
4th,MEXICO,2021-10-01,2021-10-01,0 days,0.0,Priority Date
Certain Religious Workers,MEXICO,2021-10-01,2021-10-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2021-10-01,2021-10-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",MEXICO,2021-10-01,2021-10-01,0 days,0.0,Priority Date
1st,PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Priority Date
2nd,PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Priority Date
3rd,PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Priority Date
Other Workers,PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Priority Date
4th,PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Priority Date
Certain Religious Workers,PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Priority Date
1st,ROW,2021-09-01,2021-09-01,0 days,0.0,Priority Date
2nd,ROW,2021-09-01,2021-09-01,0 days,0.0,Priority Date
3rd,ROW,2021-09-01,2021-09-01,0 days,0.0,Priority Date
Other Workers,ROW,2021-09-01,2021-09-01,0 days,0.0,Priority Date
4th,ROW,2021-09-01,2021-09-01,0 days,0.0,Priority Date
Certain Religious Workers,ROW,2021-09-01,2021-09-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",ROW,2021-09-01,2021-09-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",ROW,2021-09-01,2021-09-01,0 days,0.0,Priority Date
1st,CHINA,2021-09-01,2021-09-01,0 days,0.0,Priority Date
2nd,CHINA,2018-09-01,2021-09-01,1096 days,1096.0,Priority Date
3rd,CHINA,2019-07-01,2021-09-01,793 days,793.0,Priority Date
Other Workers,CHINA,2010-05-01,2021-09-01,4141 days,4141.0,Priority Date
4th,CHINA,2021-09-01,2021-09-01,0 days,0.0,Priority Date
Certain Religious Workers,CHINA,2021-09-01,2021-09-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2015-12-15,2021-09-01,2087 days,2087.0,Priority Date
"5th Regional Center
(I5 and R5)",CHINA,2015-12-15,2021-09-01,2087 days,2087.0,Priority Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-09-01,2021-09-01,0 days,0.0,Priority Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-09-01,2021-09-01,0 days,0.0,Priority Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-09-01,2021-09-01,0 days,0.0,Priority Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-09-01,2021-09-01,0 days,0.0,Priority Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-05-15,2021-09-01,840 days,840.0,Priority Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-05-15,2021-09-01,840 days,840.0,Priority Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-09-01,2021-09-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-09-01,2021-09-01,0 days,0.0,Priority Date
1st,INDIA,2021-09-01,2021-09-01,0 days,0.0,Priority Date
2nd,INDIA,2011-12-01,2021-09-01,3562 days,3562.0,Priority Date
3rd,INDIA,2014-03-01,2021-09-01,2741 days,2741.0,Priority Date
Other Workers,INDIA,2014-03-01,2021-09-01,2741 days,2741.0,Priority Date
4th,INDIA,2021-09-01,2021-09-01,0 days,0.0,Priority Date
Certain Religious Workers,INDIA,2021-09-01,2021-09-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2021-09-01,2021-09-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",INDIA,2021-09-01,2021-09-01,0 days,0.0,Priority Date
1st,MEXICO,2021-09-01,2021-09-01,0 days,0.0,Priority Date
2nd,MEXICO,2021-09-01,2021-09-01,0 days,0.0,Priority Date
3rd,MEXICO,2021-09-01,2021-09-01,0 days,0.0,Priority Date
Other Workers,MEXICO,2021-09-01,2021-09-01,0 days,0.0,Priority Date
4th,MEXICO,2021-09-01,2021-09-01,0 days,0.0,Priority Date
Certain Religious Workers,MEXICO,2021-09-01,2021-09-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2021-09-01,2021-09-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",MEXICO,2021-09-01,2021-09-01,0 days,0.0,Priority Date
1st,PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Priority Date
2nd,PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Priority Date
3rd,PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Priority Date
Other Workers,PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Priority Date
4th,PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Priority Date
Certain Religious Workers,PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Priority Date
1st,ROW,2021-08-01,2021-08-01,0 days,0.0,Priority Date
2nd,ROW,2021-08-01,2021-08-01,0 days,0.0,Priority Date
3rd,ROW,2021-08-01,2021-08-01,0 days,0.0,Priority Date
Other Workers,ROW,2021-08-01,2021-08-01,0 days,0.0,Priority Date
4th,ROW,2021-08-01,2021-08-01,0 days,0.0,Priority Date
Certain Religious Workers,ROW,2021-08-01,2021-08-01,0 days,0.0,Priority Date
"5th Non-Regional Center
(C5 and T5)",ROW,2021-08-01,2021-08-01,0 days,0.0,Priority Date
"5th Regional Center
(I5 and R5)",ROW,2021-08-01,2021-08-01,0 days,0.0,Priority Date
1st,CHINA,2021-08-01,2021-08-01,0 days,0.0,Priority Date
2nd,CHINA,2018-07-01,2021-08-01,1127 days,1127.0,Priority Date
3rd,CHINA,2019-07-01,2021-08-01,762 days,762.0,Priority Date
Other Workers,CHINA,2010-05-01,2021-08-01,4110 days,4110.0,Priority Date
4th,CHINA,2021-08-01,2021-08-01,0 days,0.0,Priority Date
